textID,text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²),sentiment_numeric
c5ec3e9e37,ನಾನಿನ್ನೂ ಅಲ್ಲ. ನಾನು RR ಮತ್ತು ನನ್ನ ಬಿಯರ್ ಅನ್ನು ಕೇಳುವುದನ್ನು ಆನಂದಿಸುತ್ತಿದ್ದೇನೆ ಆದರೂ ನಾವು *snicker* ಹೊರಗೆ ಹೋಗಬೇಕಿತ್ತು,ತಟಸ್ಥ,ಬೆಳಿಗ್ಗೆ,0-20,ಪಲಾವ್,18094.0,460.0,39.0,1
2a5bb8d827,"ಬಿ-ಡೇ ಶುಭಾಶಯಗಳು! ಭೂಮಿಯ ಈ ಭಾಗದಲ್ಲಿ ಈಗಷ್ಟೇ ಎಚ್ಚರವಾಯಿತು, ಆದ್ದರಿಂದ ಶುಭಾಶಯಗಳು ಸ್ವಲ್ಪ ತಡವಾಗಿವೆ",ಧನಾತ್ಮಕ,ಮಧ್ಯಾಹ್ನ,60-70,ಇರಾನ್,83992949.0,1630000.0,52.0,2
02b43cd23c,ತಾಯಂದಿರ ದಿನದ ಶುಭಾಶಯಗಳು ಅಮ್ಮಾ?,ಧನಾತ್ಮಕ,ರಾತ್ರಿ,31-45,ದಕ್ಷಿಣ ಆಫ್ರಿಕಾ,59308690.0,1213090.0,49.0,2
e170fafd8c,ಓಕೈ ಕೂಲ್!  ಸರಣಿ ಪ್ರಾರಂಭವಾಗುವವರೆಗೆ ನಾನು ಕಾಯಲು ಸಾಧ್ಯವಿಲ್ಲ ಇದು ಗುಣಾ ಅದ್ಭುತವಾಗಿದೆ x,ಧನಾತ್ಮಕ,ಮಧ್ಯಾಹ್ನ,21-30,ಫಿಜಿ,896445.0,18270.0,49.0,2
d9107173c4,ಮನೆಯಲ್ಲಿ ಒಬ್ಬಳೇ.. ಹೌ ಮಾಡುತ್ತಿದ್ದೇನೆ,ತಟಸ್ಥ,ಮಧ್ಯಾಹ್ನ,21-30,ಮಲೇಷ್ಯಾ,32365999.0,328550.0,99.0,1
e8e5d28fb4,ನಾನು ಡಾಫ್ಟ್ ಪಂಕ್‌ನ ಡಾ ಫಂಕ್‌ಗಾಗಿ ವೀಡಿಯೊವನ್ನು ಪ್ರೀತಿಸುತ್ತೇನೆ,ಧನಾತ್ಮಕ,ಮಧ್ಯಾಹ್ನ,60-70,ಮಾರಿಷಸ್,1271768.0,2030.0,626.0,2
5683fb4e31,ನಾನು ಕೆಲವೊಮ್ಮೆ ಕೆಲವು ಪಿಪಿಎಲ್‌ಗಳಿಗೆ ಹೇಳಿದ್ದನ್ನು ನಾನು ಪ್ರಾಮಾಣಿಕವಾಗಿ ದ್ವೇಷಿಸುತ್ತೇನೆ. ಯಾರಿಗಾದರೂ ನನ್ನನ್ನು **** ಮಾಡಿದ್ದಕ್ಕಾಗಿ ಕ್ಷಮಿಸಿ.,ಋಣಾತ್ಮಕ,ಮಧ್ಯಾಹ್ನ,60-70,ತಾಂಜಾನಿಯಾ,59734218.0,885800.0,67.0,0
85e2495324,"ನಿಮ್ಮ ಕರೆ ಮಾಡುವ ಸಮಯವನ್ನು ಕಳೆದುಕೊಂಡಿದ್ದಕ್ಕೆ ನನಗೆ ತುಂಬಾ ಬೇಸರವಾಗಿದೆ, ನಾನು ಅಭ್ಯಾಸದಿಂದ ಮನೆಗೆ ತಡವಾಗಿ ಬಂದೆ",ಋಣಾತ್ಮಕ,ಬೆಳಿಗ್ಗೆ,46-60,ಮಂಗೋಲಿಯಾ,3278290.0,1553560.0,2.0,0
cae4719603,ಅಂತಿಮವಾಗಿ ಬಿಸಿಲಿನ ದಿನಗಳು ಮತ್ತು ನಾನು ಹೊರಗೆ ಹೋಗಿ ಆಟವಾಡಲು ತುಂಬಾ ಅನಾರೋಗ್ಯದಿಂದ ಬಳಲುತ್ತಿದ್ದೇನೆ.,ಋಣಾತ್ಮಕ,ರಾತ್ರಿ,70-100,ಪನಾಮ,4314767.0,74340.0,58.0,0
3b45abf7b5,ಯಾರಾದರೂ ತಮ್ಮ ಹೃದಯದಲ್ಲಿ ದುಃಖದ ಭಾರವಾದ ಭಾವನೆಯನ್ನು ಹೊಂದಿದ್ದೀರಾ? ಅದು ಈಗ ನನ್ನ ಕೇಸ್ ವಿಧಿ.,ಋಣಾತ್ಮಕ,ಬೆಳಿಗ್ಗೆ,46-60,ಅರ್ಜೆಂಟೀನಾ,45195774.0,2736690.0,17.0,0
981713769ಡಿ,"ಸ್ನೇಹಿತರನ್ನು ಒತ್ತಲು ಕೆಲವು ಕಾರಿನ ಭಾಗಗಳನ್ನು ಬಿಟ್ಟುಬಿಡಬೇಕು, ನಂತರ ದಂತವೈದ್ಯರಿಗೆ!    http://yfrog.com/0a7v3j",ತಟಸ್ಥ,ಬೆಳಿಗ್ಗೆ,46-60,ಕಾಂಗೋ ಪ್ರಜಾಸತ್ತಾತ್ಮಕ ಗಣರಾಜ್ಯ,89561403.0,2267050.0,40.0,1
07069f29c4,"ಇದು ಇಂದು ಹೊರಗೆ ಸುಂದರವಾದ ದಿನವಾಗಿದೆ, ನಾಚಿಕೆಗೇಡು ನಾನು ಕಛೇರಿಯಲ್ಲಿ ಕಣ್ಣುಮುಚ್ಚಾಲೆಯನ್ನು ನಿಲ್ಲಿಸಲು ಬ್ಲೈಂಡ್‌ಗಳನ್ನು ಮುಚ್ಚಿದ್ದೇನೆ.",ತಟಸ್ಥ,ಮಧ್ಯಾಹ್ನ,21-30,ಸೀಶೆಲ್ಸ್,98347.0,460.0,214.0,1
6cb03d7c46,ಮೊಜಾರ್ಟ್ ಅವರ ವಿನಂತಿ!,ತಟಸ್ಥ,ಬೆಳಿಗ್ಗೆ,0-20,ಯುನೈಟೆಡ್ ಸ್ಟೇಟ್ಸ್ ಆಫ್ ಅಮೇರಿಕಾ,331002651.0,9147420.0,36.0,1
bc02870b7d,ಹಿಂದಿನ ಪೋಸ್ಟ್‌ನಲ್ಲಿನ URL (ಟೈಮರ್ ಕೆಲಸಕ್ಕೆ) http://bit.ly/a4Fdb ಆಗಿರಬೇಕು. ನಾನು URL ಅನ್ನು ಅಸ್ತವ್ಯಸ್ತಗೊಳಿಸಿದ ಜಾಗವನ್ನು ತೆಗೆದುಹಾಕಿದ್ದೇನೆ.  ^ES,ಋಣಾತ್ಮಕ,ಮಧ್ಯಾಹ್ನ,60-70,ತಾಂಜಾನಿಯಾ,59734218.0,885800.0,67.0,0
f4c7e939ef,"ಹಾ, ನಾನು ಸ್ಪೈಮಾಸ್ಟರ್‌ಗೆ ಅವಕಾಶ ನೀಡುತ್ತಿದ್ದೇನೆ - ಕುತೂಹಲ! ನಿನ್ನನ್ನು ಕಳೆದುಕೊಳ್ಳುತ್ತೇನೆ",ಋಣಾತ್ಮಕ,ರಾತ್ರಿ,31-45,ಬ್ರೆಜಿಲ್,212559417.0,8358140.0,25.0,0
6d846d7d50,ನನ್ನನ್ನು ಕ್ಷಮಿಸಿ ಕನಿಷ್ಠ ಇದು ಶುಕ್ರವಾರವೇ?,ಋಣಾತ್ಮಕ,ರಾತ್ರಿ,31-45,ಕೊಮೊರೊಸ್,869601.0,1861.0,467.0,0
64f91449b7,ಟುನೈಟ್ ಕನ್ಸರ್ಟ್ ಚಾಕಿನ್ ಔಟ್ ಮತ್ತು ನಾಳೆ ಬರುವುದಿಲ್ಲ!,ತಟಸ್ಥ,ಬೆಳಿಗ್ಗೆ,0-20,ಫ್ರಾನ್ಸ್,65273511.0,547557.0,119.0,1
30e7967de4,"ಪ್ರತಿಯೊಬ್ಬ ತಾಯಿ, ಮಮ್ಮಿ ಮತ್ತು ತಾಯಿಗೆ, ತಾಯಂದಿರ ದಿನದ ಶುಭಾಶಯಗಳು ನೀವೆಲ್ಲರೂ ಇಂದು ವಿಶೇಷ ಮತ್ತು ವಿನೋದವನ್ನು ಮಾಡುತ್ತೀರಿ ಎಂದು ಭಾವಿಸುತ್ತೇವೆ.",ಧನಾತ್ಮಕ,ರಾತ್ರಿ,31-45,ಟಾಂಗಾ,105695.0,720.0,147.0,2
